UNIPROT_ACCESSION	Name	Species
Q04666	hairy and enhancer of split 1 (Drosophila)	Rattus norvegicus
A1W3C0	tRNA 2-thiocytidine biosynthesis protein ttcA	Acidovorax sp. JS42
Q8D1Q8	Arabinose 5-phosphate isomerase	Yersinia pestis
Q4KLP0	dehydrogenase E1 and transketolase domain containing 1	Rattus norvegicus
Q80U87	ubiquitin specific peptidase 8	Mus musculus
Q64261	cyclin-dependent kinase 6	Mus musculus
Q14590	zinc finger protein 235	Homo sapiens
Q9UFH2	dynein, axonemal, heavy chain 17	Homo sapiens
Q99LU8	cDNA sequence BC005537	Mus musculus
P18490	pecanex	Drosophila melanogaster
Q91XD4	formiminotransferase cyclodeaminase	Mus musculus
Q5VYY2	lipase, family member M	Homo sapiens
Q6P3N9	solute carrier family 30 (zinc transporter), member 7	Xenopus (Silurana) tropicalis
Q6GM29	MGC84016 protein	Xenopus laevis
P54802	N-acetylglucosaminidase, alpha-	Homo sapiens
O60503	adenylate cyclase 9	Homo sapiens
P50216	Isocitrate dehydrogenase [NADP]	Corynebacterium glutamicum
P13705	mutS homolog 3 (E. coli)	Mus musculus
Q8D1Q8	Arabinose 5-phosphate isomerase	Yersinia pestis
Q5EA79	galactose mutarotase (aldose 1-epimerase)	Bos taurus
Q6AAW5	D-tyrosyl-tRNA(Tyr) deacylase	Propionibacterium acnes
Q5ZKQ6	polymerase (DNA directed), epsilon 2 (p59 subunit)	Gallus gallus
Q63NE3	UvrABC system protein B	Burkholderia pseudomallei
O46037	Vinculin	Drosophila melanogaster
A0JYN1	Uroporphyrinogen decarboxylase	Arthrobacter sp. FB24
A1B946	Cytochrome c-type biogenesis protein ccmE	Paracoccus denitrificans
A1WJU9	Apolipoprotein N-acyltransferase	Verminephrobacter eiseniae
Q9R1N3	solute carrier family 4, sodium bicarbonate cotransporter, member 7	Rattus norvegicus
Q6NRQ1	hypothetical protein MGC83081	Xenopus laevis
Q6DMN8	spermatogenesis associated 4	Pan troglodytes
Q6P5E4	UDP-glucose ceramide glucosyltransferase-like 1; similar to UDP-glucose ceramide glucosyltransferase-like 1	Mus musculus
Q640T1	allantoicase	Xenopus (Silurana) tropicalis
P35992	Protein tyrosine phosphatase 10D	Drosophila melanogaster
Q8BRK9	mannosidase 2, alpha 2	Mus musculus
Q91Z53	glyoxylate reductase/hydroxypyruvate reductase	Mus musculus
P05982	NAD(P)H dehydrogenase, quinone 1	Rattus norvegicus
Q9ULJ6	zinc finger, MIZ-type containing 1	Homo sapiens
P31266	recombination signal binding protein for immunoglobulin kappa J region	Mus musculus
A2RV01	zgc:110758	Danio rerio
P79457	ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome	Mus musculus
Q16549	proprotein convertase subtilisin/kexin type 7 pseudogene; proprotein convertase subtilisin/kexin type 7	Homo sapiens
B0LPN4	ryanodine receptor 2, cardiac	Rattus norvegicus
A5D7I4	exostoses (multiple) 1	Bos taurus
Q9YH09	Ralb protein	Xenopus laevis
Q9UBR1	ureidopropionase, beta	Homo sapiens
Q5R4M2	unc-51-like kinase 4 (C. elegans)	Pongo abelii
P27718	dopa decarboxylase (aromatic L-amino acid decarboxylase)	Bos taurus
P29117	peptidylprolyl isomerase F (cyclophilin F)	Rattus norvegicus
P97767	eyes absent 1 homolog (Drosophila)	Mus musculus
Q0IIF9	cytochrome P450, family 2, subfamily U, polypeptide 1	Bos taurus
A5U8S4	Lysyl-tRNA synthetase; Putative lysyl-tRNA synthetase 2; Lysyl-tRNA synthetase 1	Mycobacterium tuberculosis
Q7SIG4	Diisopropyl-fluorophosphatase	Loligo vulgaris
Q93YS4	AT5G06530	Arabidopsis thaliana
Q29496	cytochrome P450 CYP3A24	Ovis aries
Q80YV3	transformation/transcription domain-associated protein	Mus musculus
Q8NNN0	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	Corynebacterium glutamicum
Q6ABL2	DNA replication and repair protein recF	Propionibacterium acnes
P07207	Notch	Drosophila melanogaster
P16546	spectrin alpha 2	Mus musculus
Q91WF7	FIG4 homolog (S. cerevisiae)	Mus musculus
Q51649	Putative transposase for insertion sequence IS408	Burkholderia multivorans
P0CB97	NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)	Pongo abelii
Q99N42	thymidine phosphorylase	Mus musculus
P23824	GATA binding protein 2	Gallus gallus
Q8SX83	split ends	Drosophila melanogaster
Q3S8M4	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 4	Macaca mulatta
P16410	cytotoxic T-lymphocyte-associated protein 4	Homo sapiens
Q9UMS0	NFU1 iron-sulfur cluster scaffold homolog (S. cerevisiae)	Homo sapiens
O88533	dopa decarboxylase	Mus musculus
O93344	aldehyde dehydrogenase 1 family, member A2	Gallus gallus
Q6A964	Glycyl-tRNA synthetase	Propionibacterium acnes
P52785	guanylate cyclase 2e	Mus musculus
Q4VBS4	zgc:110461	Danio rerio
Q86WZ6	zinc finger protein 227	Homo sapiens
A1WAX8	3-oxoacyl-[acyl-carrier-protein] synthase 3	Acidovorax sp. JS42
Q04448	NAD-dependent methylenetetrahydrofolate dehydrogenase	Drosophila melanogaster
Q24498	Ryanodine receptor 44F	Drosophila melanogaster
Q5ZIJ9	mindbomb homolog 2 (Drosophila)	Gallus gallus
Q51649	Putative transposase for insertion sequence IS408	Burkholderia multivorans
Q6A997	Chaperone protein dnaJ 1	Propionibacterium acnes
Q8BU31	similar to RAP2C, member of RAS oncogene family; RAP2C, member of RAS oncogene family	Mus musculus
Q9DC16	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1	Mus musculus
P50216	Isocitrate dehydrogenase [NADP]	Corynebacterium glutamicum
Q6A7V6	Phenylalanyl-tRNA synthetase beta chain	Propionibacterium acnes
Q6A6N5	30S ribosomal protein S17	Propionibacterium acnes
Q8IUS5	epoxide hydrolase 4	Homo sapiens
Q9WVL1	adaptor-related protein complex AP-4, sigma 1	Mus musculus
Q04771	activin A receptor, type I	Homo sapiens
Q2NL00	similar to glutathione S-transferase theta 1; glutathione S-transferase theta 1	Bos taurus
A3KPN8	zgc:112407	Danio rerio
Q5R8R5	glutathione S-transferase pi 1	Pongo abelii
A8E657	aminoadipate-semialdehyde synthase	Bos taurus
Q8K157	galactose mutarotase	Mus musculus
O16025	Allene oxide synthase-lipoxygenase protein	Plexaura homomalla
Q9X8Z9	Potassium-transporting ATPase B chain	Streptomyces coelicolor
Q01460	chitobiase, di-N-acetyl-	Rattus norvegicus
Q5RDY7	guanine nucleotide binding protein (G protein), beta 5	Pongo abelii
P07909	Heterogeneous nuclear ribonucleoprotein at 98DE	Drosophila melanogaster
P11233	v-ral simian leukemia viral oncogene homolog A (ras related)	Homo sapiens
Q3USW5	FAD-dependent oxidoreductase domain containing 2	Mus musculus
Q945U1	40S ribosomal protein S15	Elaeis oleifera
Q8VIK1	small nuclear ribonucleoprotein 25 (U11/U12)	Mus musculus
O33062	Putative phosphoserine aminotransferase	Mycobacterium leprae
P43351	RAD52 homolog (S. cerevisiae)	Homo sapiens
O76082	solute carrier family 22 (organic cation/carnitine transporter), member 5	Homo sapiens
Q9DB25	asparagine-linked glycosylation 5 homolog (yeast, dolichyl-phosphate beta-glucosyltransferase)	Mus musculus
O19071	mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	Sus scrofa
Q9D1H7	RIKEN cDNA 1110007L15 gene; predicted gene 3606	Mus musculus
P50226	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 2	Homo sapiens
Q61205	platelet-activating factor acetylhydrolase, isoform 1b, subunit 3	Mus musculus
Q5SVS4	solute carrier family 25, member 30	Homo sapiens
Q6AB49	tRNA(Ile)-lysidine synthase	Propionibacterium acnes
Q7KVW5	small conductance calcium-activated potassium channel	Drosophila melanogaster
Q60716	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha II polypeptide	Mus musculus
Q9UDR5	aminoadipate-semialdehyde synthase	Homo sapiens
P31429	43-KDa rabbit renal band 3-related protein	Oryctolagus cuniculus
Q6A039	TBC1D12: TBC1 domain family, member 12	Mus musculus
Q7W9E6	Chaperone protein clpB	Bordetella parapertussis
Q9BV94	ER degradation enhancer, mannosidase alpha-like 2	Homo sapiens
P0AAE0	D-serine/D-alanine/glycine transporter	Escherichia coli
Q6A8J7	Histidyl-tRNA synthetase	Propionibacterium acnes
Q8RM04	Xaut_3509	Xanthobacter autotrophicus
A7STV9	NEMVEDRAFT_v1g174298	Nematostella vectensis
Q6UPE0	choline dehydrogenase	Rattus norvegicus
Q51649	Putative transposase for insertion sequence IS408	Burkholderia multivorans
Q6A9W5	Probable cytosol aminopeptidase	Propionibacterium acnes
Q9UBQ7	glyoxylate reductase/hydroxypyruvate reductase	Homo sapiens
Q0II59	pyridoxal (pyridoxine, vitamin B6) kinase	Bos taurus
Q5RC04	RasGEF domain family, member 1B	Pongo abelii
Q9VNL4	Glutaredoxin domain-containing cysteine-rich protein CG31559	Drosophila melanogaster
A2VD83	hypothetical protein LOC100037186	Xenopus laevis
Q6AXC6	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae)	Mus musculus
Q9XF97	60S ribosomal protein L4	Prunus armeniaca
Q9VM71	5'-3' exoribonuclease 2 homolog	Drosophila melanogaster
Q7U0Z0	Succinyl-CoA ligase [ADP-forming] subunit alpha	Mycobacterium bovis
P07882	carboxyl ester lipase	Rattus norvegicus
Q7SYH5	electrogenic sodium monocarboxylate cotransporter	Xenopus laevis
Q9NPC7	myoneurin	Homo sapiens
P48430	SRY (sex determining region Y)-box 2	Gallus gallus
Q6AAR3	L-threonine 3-dehydrogenase	Propionibacterium acnes
P13952	G2/mitotic-specific cyclin-B	Spisula solidissima
Q17LW0	Myosin-VIIa	Aedes aegypti
Q6A6K7	DNA-directed RNA polymerase subunit beta'	Propionibacterium acnes
O14795	unc-13 homolog B (C. elegans)	Homo sapiens
P22071	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1; 3 beta-hydroxysteroid dehydrogenase/delta-5-delta-4 isomerase type II	Rattus norvegicus
O17185	SUPpressor	Caenorhabditis elegans
Q8C2L6	transmembrane protein 161B	Mus musculus
Q6PFR5	transformer 2 alpha homolog (Drosophila)	Mus musculus
Q9BHM6	odh1	Pecten maximus
Q9UHI7	solute carrier family 23 (nucleobase transporters), member 1	Homo sapiens
Q51649	Putative transposase for insertion sequence IS408	Burkholderia multivorans
O95835	LATS, large tumor suppressor, homolog 1 (Drosophila)	Homo sapiens
Q6AAP6	Cobyric acid synthase	Propionibacterium acnes
P70512	one cut homeobox 1	Rattus norvegicus
Q12834	cell division cycle 20 homolog (S. cerevisiae)	Homo sapiens
O75643	similar to U5 snRNP-specific protein, 200 kDa; small nuclear ribonucleoprotein 200kDa (U5)	Homo sapiens
O46432	mannosidase, alpha, class 2B, member 1	Felis catus
Q3TIT8	solute carrier family 37 (glycerol-3-phosphate transporter), member 3	Mus musculus
A0AVT1	ubiquitin-like modifier activating enzyme 6	Homo sapiens
Q96JB2	component of oligomeric golgi complex 3	Homo sapiens
A0QVB4	Tyrosine recombinase xerC	Mycobacterium smegmatis
P84082	ADP-ribosylation factor 2	Rattus norvegicus
Q5T1M5	FK506 binding protein 15, 133kDa	Homo sapiens
Q6P886	debranching enzyme homolog 1	Xenopus (Silurana) tropicalis
B9MDD1	Dtpsy_0683	Diaphorobacter sp. TPSY
P26818	adrenergic, beta, receptor kinase 2	Bos taurus
Q8D1Q8	Arabinose 5-phosphate isomerase	Yersinia pestis
A2VDF0	chromosome 10 open reading frame 125	Homo sapiens
P46638	RAB11B, member RAS oncogene family	Mus musculus
Q5E9S3	transcription factor 21	Bos taurus
Q47F10	Phosphonates import ATP-binding protein phnC	Dechloromonas aromatica
Q9YH58	formiminotransferase cyclodeaminase	Gallus gallus
Q9RR70	Fumarate hydratase class II	Deinococcus radiodurans
Q29503	cell division cycle 34 homolog (S. cerevisiae)	Oryctolagus cuniculus
Q9CQ46	EF-hand calcium binding domain 2	Mus musculus
Q00944	PTK2 protein tyrosine kinase 2	Gallus gallus
Q9NW15	anoctamin 10	Homo sapiens
P07633	propionyl coenzyme A carboxylase, beta polypeptide	Rattus norvegicus
A4IF78	tumor necrosis factor, alpha-induced protein 8	Bos taurus
P45622	Delta-aminolevulinic acid dehydratase	Bradyrhizobium japonicum
P33450	fat	Drosophila melanogaster
Q51649	Putative transposase for insertion sequence IS408	Burkholderia multivorans
Q8NB78	amine oxidase (flavin containing) domain 1	Homo sapiens
Q9VUL9	Glycoprotein 3-alpha-L-fucosyltransferase A	Drosophila melanogaster
A1VM73	Pnap_1437	Polaromonas naphthalenivorans
P48544	potassium inwardly-rectifying channel, subfamily J, member 5	Homo sapiens
P45313	Probable phosphosugar isomerase HI1678	Haemophilus influenzae
Q9VCE6	Probable N6-adenosine-methyltransferase MT-A70-like protein	Drosophila melanogaster
Q24292	dachsous	Drosophila melanogaster
A1B2Q2	Ribulose bisphosphate carboxylase large chain	Paracoccus denitrificans
P46778	ribosomal protein L21 pseudogene 134; ribosomal protein L21 pseudogene 80; ribosomal protein L21 pseudogene 20; ribosomal protein L21 pseudogene 46; ribosomal protein L21 pseudogene 45; ribosomal protein L21 pseudogene 131; ribosomal protein L21 pseudogene 16; ribosomal protein L21 pseudogene 53; ribosomal protein L21 pseudogene 120; ribosomal protein L21 pseudogene 37; ribosomal protein L21 pseudogene 93; ribosomal protein L21 pseudogene 39; ribosomal protein L21 pseudogene 29; ribosomal protein L21 pseudogene 28; ribosomal protein L21 pseudogene 14; ribosomal protein L21 pseudogene 98; ribosomal protein L21 pseudogene 105; ribosomal protein L21 pseudogene 87; ribosomal protein L21 pseudogene 128; ribosomal protein L21 pseudogene 69; ribosomal protein L21 pseudogene 97; ribosomal protein L21; ribosomal protein L21 pseudogene 119; ribosomal protein L21 pseudogene 125	Homo sapiens
Q9NRK6	ATP-binding cassette, sub-family B (MDR/TAP), member 10	Homo sapiens
O61735	Clock	Drosophila melanogaster
P49221	transglutaminase 4 (prostate)	Homo sapiens
P62071	related RAS viral (r-ras) oncogene homolog 2	Mus musculus
Q29P71	Myosin-VIIa	Drosophila pseudoobscura
Q6A8N5	Prolipoprotein diacylglyceryl transferase	Propionibacterium acnes
P41105	predicted gene 13226; predicted gene 15435; ribosomal protein L28; predicted gene 12938	Mus musculus
Q8BGF6	ELMO domain containing 2	Mus musculus
Q5IZC5	Cryptochrome-1	Erithacus rubecula
Q5RDC9	solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1	Pongo abelii
Q6A7P6	Polyribonucleotide nucleotidyltransferase	Propionibacterium acnes
Q3U487	HECT domain containing 3	Mus musculus
Q86UA1	PRP39 pre-mRNA processing factor 39 homolog (S. cerevisiae)	Homo sapiens
A1TSA3	Phosphoserine aminotransferase	Acidovorax avenae
P54755	EPH receptor A5	Gallus gallus
Q6A9J8	UvrABC system protein C	Propionibacterium acnes
Q3ZC26	solute carrier family 5 (sodium/glucose cotransporter), member 11	Bos taurus
A1WB52	30S ribosomal protein S16	Acidovorax sp. JS42
Q9VTJ4	alpha-L-fucosidase	Drosophila melanogaster
Q9N1T2	retinitis pigmentosa GTPase regulator	Canis lupus
Q5RFB7	solute carrier family 25 (mitochondrial oxodicarboxylate carrier), member 21	Pongo abelii
Q80XJ3	tetratricopeptide repeat domain 28	Mus musculus
Q14376	UDP-galactose-4-epimerase	Homo sapiens
Q86WU2	lactate dehydrogenase D	Homo sapiens
Q26304	Luciferin 4-monooxygenase	Luciola mingrelica
Q9VN14	Contactin	Drosophila melanogaster
Q8Z245	sn-glycerol-3-phosphate import ATP-binding protein ugpC	Salmonella enterica
P42577	Soma ferritin	Lymnaea stagnalis
P61969	LIM domain only 4	Mus musculus
Q3J5M4	Phenylalanyl-tRNA synthetase alpha chain	Rhodobacter sphaeroides
Q2KJ63	kallikrein B, plasma (Fletcher factor) 1	Bos taurus
Q8BHT6	beta 1,3-galactosyltransferase-like	Mus musculus
Q7LFX5	carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15	Homo sapiens
Q5ZJM3	N-glycanase 1	Gallus gallus
Q48406	Beta-lactamase TEM-12	Klebsiella oxytoca
Q9JM52	misshapen-like kinase 1 (zebrafish)	Mus musculus
P08879	abnormal wing discs	Drosophila melanogaster
B2U6V1	Acetyl-coenzyme A synthetase	Ralstonia pickettii
B2RYD2	similar to hypothetical protein FLJ20171	Rattus norvegicus
Q6F596	geranylgeranyl diphosphate synthase 1	Rattus norvegicus
Q5R9W5	WW domain containing oxidoreductase	Pongo abelii
